sku_id,sku_key,name,option,group,rg_actual,self_estimate,self_count,rg_inbound,unit_cost,note
34,cp:16162161669:화이트 L,코스트코 커클랜드 반팔 티셔츠 6매 세트 크루넥 라운드넥 태그리스 기본 티셔츠,화이트 L,g28,1,10,2,0,26354,2개 옵션 그룹 — 그룹 추정 10을 옵션별로 나눠 적는다 · 무효 판매 6개 — 추정이 부풀었을 수 있다
36,cp:16256947431:750ml,오스트레일리안 보태니컬 핸드워시 750ml + 여행용 소분 파우치 50ml,750ml,g31,0,52,15,0,6495,무효 판매 71개 — 추정이 부풀었을 수 있다
38,cp:16176798285:아이리스 AC 공기순환기 PCF-SC15T-CT,아이리스 AC 공기순환기 서큘레이터 저소음,아이리스 AC 공기순환기 PCF-SC15T-CT,g33,0,2,0,0,44990,
39,cp:16239531938:혼합색상 / 10개입,"LG생활건강, 리치 키즈 칫솔, 국내제조, 3세 이상",혼합색상 / 10개입,g34,0,9,0,0,9490,
40,cp:16221865937:90정,"코스트코 판매, 프리미엄 아쿠아셀 rTG 오메가-3, 비타민D, E 함량",90정,g35,0,3,0,0,23990,
41,cp:16268079070:2개입,"LED 라이트 트랩 본품 2입 + 리필 8입, 코스트코 전용제품",2개입,g36,0,15,4,0,23490,
42,cp:16184333435:블랙 M,컬럼비아 남성 반소매 티셔츠 그래픽 티셔츠 면 반소매 티셔츠 반팔 티셔츠,블랙 M,g37,0,9,0,0,16990,9개 옵션 그룹 — 그룹 추정 9을 옵션별로 나눠 적는다
43,cp:16184333435:블랙 L,컬럼비아 남성 반소매 티셔츠 그래픽 티셔츠 면 반소매 티셔츠 반팔 티셔츠,블랙 L,g37,0,9,0,0,16990,9개 옵션 그룹 — 그룹 추정 9을 옵션별로 나눠 적는다
44,cp:16184333435:블랙 XL,컬럼비아 남성 반소매 티셔츠 그래픽 티셔츠 면 반소매 티셔츠 반팔 티셔츠,블랙 XL,g37,0,9,0,0,16990,9개 옵션 그룹 — 그룹 추정 9을 옵션별로 나눠 적는다
45,cp:16184333435:화이트 M,컬럼비아 남성 반소매 티셔츠 그래픽 티셔츠 면 반소매 티셔츠 반팔 티셔츠,화이트 M,g37,0,9,0,0,16990,9개 옵션 그룹 — 그룹 추정 9을 옵션별로 나눠 적는다
46,cp:16184333435:화이트 L,컬럼비아 남성 반소매 티셔츠 그래픽 티셔츠 면 반소매 티셔츠 반팔 티셔츠,화이트 L,g37,0,9,0,0,16990,9개 옵션 그룹 — 그룹 추정 9을 옵션별로 나눠 적는다
47,cp:16184333435:화이트 XL,컬럼비아 남성 반소매 티셔츠 그래픽 티셔츠 면 반소매 티셔츠 반팔 티셔츠,화이트 XL,g37,0,9,0,0,16990,9개 옵션 그룹 — 그룹 추정 9을 옵션별로 나눠 적는다
48,cp:16184333435:다크스톤 M,컬럼비아 남성 반소매 티셔츠 그래픽 티셔츠 면 반소매 티셔츠 반팔 티셔츠,다크스톤 M,g37,0,9,0,0,16990,9개 옵션 그룹 — 그룹 추정 9을 옵션별로 나눠 적는다
49,cp:16184333435:다크스톤 L,컬럼비아 남성 반소매 티셔츠 그래픽 티셔츠 면 반소매 티셔츠 반팔 티셔츠,다크스톤 L,g37,0,9,0,0,16990,9개 옵션 그룹 — 그룹 추정 9을 옵션별로 나눠 적는다
50,cp:16184333435:다크스톤 XL,컬럼비아 남성 반소매 티셔츠 그래픽 티셔츠 면 반소매 티셔츠 반팔 티셔츠,다크스톤 XL,g37,0,9,0,0,16990,9개 옵션 그룹 — 그룹 추정 9을 옵션별로 나눠 적는다
51,cp:16166471789:M(100) 네이비,코오롱 브렌우드 남성 반소매 여름 니트 레귤러핏,M(100) 네이비,g38,0,-2,0,0,,5개 옵션 그룹 — 그룹 추정 -2을 옵션별로 나눠 적는다
52,cp:16166471789:L(105) 네이비,코오롱 브렌우드 남성 반소매 여름 니트 레귤러핏,L(105) 네이비,g38,0,-2,0,0,,5개 옵션 그룹 — 그룹 추정 -2을 옵션별로 나눠 적는다
53,cp:16166471789:M(100) 카키,코오롱 브렌우드 남성 반소매 여름 니트 레귤러핏,M(100) 카키,g38,0,-2,0,0,,5개 옵션 그룹 — 그룹 추정 -2을 옵션별로 나눠 적는다
54,cp:16166471789:M(100) 베이지,코오롱 브렌우드 남성 반소매 여름 니트 레귤러핏,M(100) 베이지,g38,0,-2,0,0,,5개 옵션 그룹 — 그룹 추정 -2을 옵션별로 나눠 적는다
55,cp:16166471789:L(105) 베이지,코오롱 브렌우드 남성 반소매 여름 니트 레귤러핏,L(105) 베이지,g38,0,-2,0,0,,5개 옵션 그룹 — 그룹 추정 -2을 옵션별로 나눠 적는다
68,cp:16262282429:510g,weet-bix 위트빅스 프로틴 바이트 시리얼 카라멜 크런치,510g,g51,0,108,45,0,7189,무효 판매 80개 — 추정이 부풀었을 수 있다
69,cp:16277519255:치킨말이고구마 / 1kg,"[100g x 10개입] 파미데이즈 애견 간식, 치킨말이 고구마, 코스트코 판매 제품",치킨말이고구마 / 1kg,g52,0,5,0,0,14790,
72,cp:16182237839:블루,코스트코 커클랜드 다용도 극세사 타월 10장 세차 청소,블루,g55,118,45,33,0,6071,무효 판매 163개 — 추정이 부풀었을 수 있다
73,cp:16182237839:옐로우,코스트코 커클랜드 다용도 극세사 타월 10장 세차 청소,옐로우,g56,61,192,83,0,6386,무효 판매 291개 — 추정이 부풀었을 수 있다
74,cp:16202992314:200g,"코스트코 보태니컬 비누, 선물용 답례품 포장 4가지 향, 고트밀크 위드 소야 빈 오일, 피치스 앤 크림, 릴리 필리 위드 와틀씨드 익스트랙트, 허니 앤 밀크",200g,g57,23,60,3,0,9995,무효 판매 73개 — 추정이 부풀었을 수 있다
75,cp:16260433531:단일상품,여행용 압축 파우치 6종 세트 수납가방 정리파우치 방수파우치 캐리어 정리,단일상품,g58,0,3,0,0,6960,무효 판매 4개 — 추정이 부풀었을 수 있다
77,cp:16320376213:화이트 M(95),"컬럼비아 남성 오버핏 민소매 나시티, 신축성 있는 원단, 헬스 짐웨어",화이트 M(95),g60,0,17,0,0,13470,8개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
78,cp:16320376213:화이트 L(100),"컬럼비아 남성 오버핏 민소매 나시티, 신축성 있는 원단, 헬스 짐웨어",화이트 L(100),g60,0,17,0,0,13470,8개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
79,cp:16320376213:블랙 M(95),"컬럼비아 남성 오버핏 민소매 나시티, 신축성 있는 원단, 헬스 짐웨어",블랙 M(95),g60,0,17,0,0,13470,8개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
80,cp:16320376213:블랙 L(100),"컬럼비아 남성 오버핏 민소매 나시티, 신축성 있는 원단, 헬스 짐웨어",블랙 L(100),g60,0,17,0,0,13470,8개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
81,cp:16320376213:블랙 XL(105),"컬럼비아 남성 오버핏 민소매 나시티, 신축성 있는 원단, 헬스 짐웨어",블랙 XL(105),g60,0,17,0,0,13470,8개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
82,cp:16320376213:화이트 XXL(110),"컬럼비아 남성 오버핏 민소매 나시티, 신축성 있는 원단, 헬스 짐웨어",화이트 XXL(110),g60,0,17,0,0,13470,8개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
83,cp:16320376213:화이트 XL(105),"컬럼비아 남성 오버핏 민소매 나시티, 신축성 있는 원단, 헬스 짐웨어",화이트 XL(105),g60,0,17,0,0,13470,8개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
84,cp:16320376213:블랙 XXL(110),"컬럼비아 남성 오버핏 민소매 나시티, 신축성 있는 원단, 헬스 짐웨어",블랙 XXL(110),g60,0,17,0,0,13470,8개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
85,cp:16289878814:FREE 로즈,"아이더 호보백 4L 경량 데일리 크로스백, 메신저 가방, 코스트코 판매제품",FREE 로즈,g61,0,3,0,0,29990,2개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다 · 무효 판매 2개 — 추정이 부풀었을 수 있다
86,cp:16289878814:FREE 베이지,"아이더 호보백 4L 경량 데일리 크로스백, 메신저 가방, 코스트코 판매제품",FREE 베이지,g61,0,3,0,0,29990,2개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다 · 무효 판매 2개 — 추정이 부풀었을 수 있다
87,cp:16223421628:1입,"구강청결제, 듀오버스터 민트볼",1입,g62,0,120,0,0,3997,무효 판매 129개 — 추정이 부풀었을 수 있다
88,cp:16239466971:30개,아머올 자동차 실내 다용도 클리닝 티슈 30매,30개,g63,0,17,0,0,4248,무효 판매 16개 — 추정이 부풀었을 수 있다
89,cp:16239632054:XL 혼합색상,코스트코 디아도라 남성 여름용 팬티 세트 브리프 5매,XL 혼합색상,g64,1,2,0,0,21990,무효 판매 4개 — 추정이 부풀었을 수 있다
90,cp:16239632054:L 혼합색상,코스트코 디아도라 남성 여름용 팬티 세트 브리프 5매,L 혼합색상,g65,0,3,0,0,21990,2개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다 · 무효 판매 3개 — 추정이 부풀었을 수 있다
91,cp:16166599481:M 네이비/그레이/블랙,캘빈클라인 남성 박서브리프 3매 세트 코튼 스트레치 로고밴드 속옷,M 네이비/그레이/블랙,g66,0,2,0,0,29990,2개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다 · 무효 판매 8개 — 추정이 부풀었을 수 있다
92,cp:16166599481:L 네이비/그레이/블랙,캘빈클라인 남성 박서브리프 3매 세트 코튼 스트레치 로고밴드 속옷,L 네이비/그레이/블랙,g66,0,2,0,0,29990,2개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다 · 무효 판매 8개 — 추정이 부풀었을 수 있다
94,cp:16331077526:그레이 34,"잉글리쉬런더리 남성 반바지 5부 반바지, 코스트코 판매제품",그레이 34,g68,0,3,0,0,9970,4개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다
95,cp:16331077526:베이지 32,"잉글리쉬런더리 남성 반바지 5부 반바지, 코스트코 판매제품",베이지 32,g68,0,3,0,0,9970,4개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다
96,cp:16331077526:그레이 32,"잉글리쉬런더리 남성 반바지 5부 반바지, 코스트코 판매제품",그레이 32,g68,0,3,0,0,9970,4개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다
97,cp:16331077526:베이지 34,"잉글리쉬런더리 남성 반바지 5부 반바지, 코스트코 판매제품",베이지 34,g68,1,3,0,0,9970,4개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다
98,cp:16239484102:30개,"아머올 자동차 유리 세정 티슈 30매, 썬팅 유리 세정",30개,g69,0,28,0,0,4248,무효 판매 27개 — 추정이 부풀었을 수 있다
99,cp:16264055824:단일상품,"마스터 버니 스포츠 얼음 주머니, 골프 얼음 주머니, 아이스팩, 코스트코 판매 제품",단일상품,g70,0,98,0,0,12990,무효 판매 92개 — 추정이 부풀었을 수 있다
101,cp:16330892121:L(105) 화이트,나이키 MLB 다저스 오타니 쇼헤이 17번 네임 앤 넘버 반팔 티셔츠,L(105) 화이트,g72,0,17,0,0,27210,3개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
102,cp:16330892121:XL(110) 화이트,나이키 MLB 다저스 오타니 쇼헤이 17번 네임 앤 넘버 반팔 티셔츠,XL(110) 화이트,g72,0,17,0,0,27210,3개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
103,cp:16330892121:L(105) 블루,나이키 MLB 다저스 오타니 쇼헤이 17번 네임 앤 넘버 반팔 티셔츠,L(105) 블루,g72,0,17,0,0,27210,3개 옵션 그룹 — 그룹 추정 17을 옵션별로 나눠 적는다
104,cp:16335592821:95ml / 95g,도미나스 기미케어 크림 EX 50g + 15g 3개입 미백 주름개선 기능성 화장품,95ml / 95g,g73,0,2,0,0,37990,무효 판매 1개 — 추정이 부풀었을 수 있다
112,cp:16322394185:L(100) 다크네이비/네이비,"[1+1] 코데즈컴바인 남성 라운지 반바지, 코스트코 판매 제품",L(100) 다크네이비/네이비,g81,0,1,0,0,17490,
114,cp:16351744951:105(L) 블랙,트루릴리젼 남성 긴소매 크루넥 맨투맨 블랙,105(L) 블랙,g83,1,,0,0,,입고 기록 없음
118,cp:16339304983:L(100) 아이보리,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,L(100) 아이보리,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
119,cp:16339304983:S(90) 아이보리,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,S(90) 아이보리,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
120,cp:16339304983:S(90) 멜란지그레이,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,S(90) 멜란지그레이,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
121,cp:16339304983:XL(105) 아이보리,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,XL(105) 아이보리,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
122,cp:16339304983:XL(105) 멜란지그레이,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,XL(105) 멜란지그레이,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
123,cp:16339304983:L(100) 네이비,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,L(100) 네이비,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
124,cp:16339304983:L(100) 멜란지그레이,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,L(100) 멜란지그레이,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
125,cp:16339304983:M(95) 아이보리,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,M(95) 아이보리,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
126,cp:16339304983:M(95) 네이비,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,M(95) 네이비,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
127,cp:16339304983:M(95) 멜란지그레이,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,M(95) 멜란지그레이,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
128,cp:16339304983:S(90) 네이비,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,S(90) 네이비,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
129,cp:16339304983:XL(105) 네이비,예일 YALE 남녀공용 오버핏 후드티 아치로고 자수 캥거루포켓 봄가을 후드 티셔츠,XL(105) 네이비,g87,0,-4,0,0,,12개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
130,cp:16344861379:110(XL) 그레이,트루릴리젼 남성 긴소매 크루넥 맨투맨 그레이,110(XL) 그레이,g88,4,-4,0,0,24990,4개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
131,cp:16344861379:100(M) 그레이,트루릴리젼 남성 긴소매 크루넥 맨투맨 그레이,100(M) 그레이,g88,1,-4,0,0,24990,4개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
132,cp:16344861379:105(L) 그레이,트루릴리젼 남성 긴소매 크루넥 맨투맨 그레이,105(L) 그레이,g88,3,-4,0,0,24990,4개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
133,cp:16344861379:95(S) 그레이,트루릴리젼 남성 긴소매 크루넥 맨투맨 그레이,95(S) 그레이,g88,0,-4,0,0,24990,4개 옵션 그룹 — 그룹 추정 -4을 옵션별로 나눠 적는다
134,cp:16344826383:1010g,"폴바셋 시그니처 블렌드 풀 포텐셜 홀빈 원두 1.01kg, 1개",1010g,g89,0,3,0,0,27990,
136,cp:16346825120:화이트+그레이스트라이프 150,마크곤잘레스 키즈 긴팔 티셔츠 2매 세트 130-160,화이트+그레이스트라이프 150,g91,3,,0,0,,입고 기록 없음
146,cp:16346154533:90정,"덴프스 트루다이어트 올인원 30포 체지방 감소, 에너지 대사, 밸런스 멀티팩",90정,g100,0,2,3,0,28990,
147,cp:16364312688:블랙 / S,비지트인뉴욕 여성 니트 가디건 레이어드 세트,블랙 / S,g101,0,2,0,0,24990,9개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다
148,cp:16364312688:블랙 / M,비지트인뉴욕 여성 니트 가디건 레이어드 세트,블랙 / M,g101,0,2,0,0,24990,9개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다
149,cp:16364312688:블랙 / L,비지트인뉴욕 여성 니트 가디건 레이어드 세트,블랙 / L,g101,0,2,1,0,24990,9개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다
150,cp:16364312688:그레이 / S,비지트인뉴욕 여성 니트 가디건 레이어드 세트,그레이 / S,g101,0,2,0,0,24990,9개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다
151,cp:16364312688:그레이 / M,비지트인뉴욕 여성 니트 가디건 레이어드 세트,그레이 / M,g101,0,2,0,0,24990,9개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다
152,cp:16364312688:그레이 / L,비지트인뉴욕 여성 니트 가디건 레이어드 세트,그레이 / L,g101,0,2,0,0,24990,9개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다
153,cp:16364312688:브라운 / S,비지트인뉴욕 여성 니트 가디건 레이어드 세트,브라운 / S,g101,0,2,0,0,24990,9개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다
154,cp:16364312688:브라운 / M,비지트인뉴욕 여성 니트 가디건 레이어드 세트,브라운 / M,g101,0,2,0,0,24990,9개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다
155,cp:16364312688:브라운 / L,비지트인뉴욕 여성 니트 가디건 레이어드 세트,브라운 / L,g101,0,2,1,0,24990,9개 옵션 그룹 — 그룹 추정 2을 옵션별로 나눠 적는다
156,cp:16368019403:260g,비첸향 골든코인 육포 260g 싱가포르 박과 개별진공포장 국내산 돼지고기,260g,g102,0,1,3,0,15490,
164,cp:16368156484:330ml,매일유업 퓨어틴 초코 쉐이크 330ml 단백질쉐이크 단백질음료 프로틴음료,330ml,g107,0,3,1,0,21658,실사 11병 = 6개입 1팩 + 낱병 5(낱병은 다음 입고와 합쳐 팩이 되면 넣는다 · 사용자 2026-09-26)
193,cp:16196654459:93.5g,코스트코 커클랜드 전자레인지 팝콘 10봉 (93.5g x 10봉),93.5g,g136,0,47,0,0,6354,무효 판매 74개 — 추정이 부풀었을 수 있다
212,cp:16278657003:화이트그레이 2단,"옷 늘어남 방지 접이식 니트 평건조대 속옷 양말 건조망, 니트 어깨 뿔 방지",화이트그레이 2단,g155,1,,0,0,,입고 기록 없음
214,cp:16239610526:XL 혼합색상,디아도라 남성 냉감 브리프,XL 혼합색상,g65,0,3,0,0,21990,2개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다 · 무효 판매 3개 — 추정이 부풀었을 수 있다
1,cp:16172383277:옐로우,코스트코 커클랜드 다용도 극세사 타월 36장 세차 청소,옐로우,g1,0,0,0,0,,
5,cp:16310708972:블랙,"Artika LED 태양광 스트링 라이트 12.8m, 20구",블랙,g4,0,,0,0,,입고 기록 없음
6,cp:16281930813:혼합색상 / S,강아지 고양이 여름 쿨매트 라탄 쿨링 방석 사계절 침대,혼합색상 / S,g5,0,,0,0,,입고 기록 없음
8,cp:16281930813:혼합색상 / L,강아지 고양이 여름 쿨매트 라탄 쿨링 방석 사계절 침대,혼합색상 / L,g7,0,,0,0,,입고 기록 없음
12,cp:16294829666:40x60 라이트블루,"[1+1]씰리 아이스 프레쉬 냉감 베개 2P, 코스트코 인기 제품",40x60 라이트블루,g9,0,,0,0,,입고 기록 없음
15,cp:16273945706:민트,"퐁실퐁실 아기 고양이 리본 파우치, 필통",민트,g12,0,,0,0,,입고 기록 없음
16,cp:16273945706:화이트,"퐁실퐁실 아기 고양이 리본 파우치, 필통",화이트,g11,0,,0,0,,입고 기록 없음 · 2개 옵션 그룹 — 그룹 추정 null을 옵션별로 나눠 적는다 · 무효 판매 1개 — 추정이 부풀었을 수 있다
19,cp:16246444021:와이드뒤집개+국자+스패츌라+알뜰주걱+잼스푼 / 혼합색상,"코스트코, 실리만 실리콘 조리도구 세트 6p",와이드뒤집개+국자+스패츌라+알뜰주걱+잼스푼 / 혼합색상,g15,0,0,0,0,,
20,cp:16294850713:450ml,"[2+1] 유니참 뿌려쓰는 탈취제, 고양이 모레 탈취제, 코튼 네추럴 비누향, 코스트코 인기 제품",450ml,g16,0,,0,0,,입고 기록 없음
21,cp:16310734185:화이트,"[1+1] 코스트코 판매제품, Infinity X1 스트링 라이트, 캠핑 줄 랜턴, 감성 조명",화이트,g17,0,,0,0,,입고 기록 없음
23,cp:16310684324:레드,"콜맨 접이식 캠핑 웨건, 손수레, 코스트코 판매제품",레드,g19,0,,0,0,,입고 기록 없음
26,cp:16284903958:블루 구름 (베개형 패드) / L,강아지 고양이 쿨매트 L자형 베개 냉감 애견 방석 침대,블루 구름 (베개형 패드) / L,g22,0,,0,0,,입고 기록 없음
27,cp:16185702268:FREE 블랙,네파 썬보트 바이저 햇빛가리개모자 자외선차단모자 자외선차단썬캡,FREE 블랙,g23,0,0,0,0,,
35,cp:16162161669:화이트 S,코스트코 커클랜드 반팔 티셔츠 6매 세트 크루넥 라운드넥 태그리스 기본 티셔츠,화이트 S,g30,0,-1,0,0,,
37,cp:16174790676:4.1kg,코스트코 전자레인지 팝콘 4.1kg,4.1kg,g32,0,,0,0,,입고 기록 없음
56,cp:16209771030:그린 M,"아이더 남성 반소매 아이스 폴로, 남성 쿨카라티셔츠, 여름 카라티셔츠",그린 M,g39,0,,0,0,,입고 기록 없음
57,cp:16209771030:그린 L,"아이더 남성 반소매 아이스 폴로, 남성 쿨카라티셔츠, 여름 카라티셔츠",그린 L,g40,0,,0,0,,입고 기록 없음
58,cp:16209771030:그린 XL,"아이더 남성 반소매 아이스 폴로, 남성 쿨카라티셔츠, 여름 카라티셔츠",그린 XL,g41,0,0,0,0,,
59,cp:16209771030:그린 XXL,"아이더 남성 반소매 아이스 폴로, 남성 쿨카라티셔츠, 여름 카라티셔츠",그린 XXL,g42,0,,0,0,,입고 기록 없음
60,cp:16209771030:네이비 M,"아이더 남성 반소매 아이스 폴로, 남성 쿨카라티셔츠, 여름 카라티셔츠",네이비 M,g43,0,,0,0,,입고 기록 없음
61,cp:16209771030:네이비 L,"아이더 남성 반소매 아이스 폴로, 남성 쿨카라티셔츠, 여름 카라티셔츠",네이비 L,g44,0,,0,0,,입고 기록 없음
